"Gene","Description"
"Tb927.8.390","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 3 (ESAG3), degenerate"
"Tb927.8.3910","thymidylate kinase, putative"
"Tb927.8.3920","hypothetical protein, conserved"
"Tb927.8.3930","hypothetical protein, conserved"
"Tb927.8.3980","hypothetical protein, conserved"
"Tb927.8.4010","flagellum-adhesion glycoprotein (fla1)"
"Tb927.8.4020","Zinc finger CCCH domain-containing protein 24 (ZC3H24)"
"Tb927.8.4030","class I transcription factor A, subunit 5a (CITFA-5a)"
"Tb927.8.4040","endonuclease G, putative"
"Tb927.8.4050","hypothetical protein, conserved"
"Tb927.8.4070","zinc finger protein family member, putative (ZC3H25)"
"Tb927.8.4080","hypothetical protein, conserved"
"Tb927.8.4090","endonuclease G, putative"
"Tb927.8.4100","hypothetical protein, conserved"
"Tb927.8.410","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.8.4110","flagellum-adhesion glycoprotein, putative"
"Tb927.8.4120","zinc finger protein family member, putative (ZC3H26)"
"Tb927.8.4130","class I transcription factor A, subunit 5b (CITFA-5b)"
"Tb927.8.4170","RNA-binding protein, putative (MRD1)"
"Tb927.8.420","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, frameshift"
"Tb927.8.4250","hypothetical protein, conserved"
"Tb927.8.4270","hypothetical protein, conserved"
"Tb927.8.4300","hypothetical protein"
"Tb927.8.430","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.8.4400","hypothetical protein, conserved"
"Tb927.8.440","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, frameshift"
"Tb927.8.450","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 3 (ESAG3), degenerate"
"Tb927.8.460","variant surface glycoprotein (VSG, atypical), putative"
"Tb927.8.4700","amino acid transporter, putative (AATP6)"
"Tb927.8.4710","amino acid transporter, putative"
"Tb927.8.4720","amino acid transporter, putative"
"Tb927.8.4730","amino acid transporter, putative"
"Tb927.8.4740","amino acid transporter, putative"
"Tb927.8.4750","amino acid transporter (pseudogene), putative,amino acid transporter, truncated"
"Tb927.8.490","hypothetical protein"
"Tb927.8.4980","Paraflagellar rod protein 2,Paraflagellar rod protein A (PFR2)"
"Tb927.8.4990","Paraflagellar rod protein 2,Paraflagellar rod protein A (PFR2)"
"Tb927.8.5000","Paraflagellar rod protein 2,Paraflagellar rod protein A (PFR2)"
"Tb927.8.500","hypothetical protein"
"Tb927.8.5010","Paraflagellar rod protein 2,Paraflagellar rod protein A (PFR2)"
"Tb927.8.5170","hypothetical protein, conserved"
"Tb927.8.530","leucine-rich repeat protein (LRRP), point mutation"
"Tb927.8.5420","hypothetical protein, conserved"
"Tb927.8.5440","flagellar calcium-binding protein,24 kDa calflagin,24 kDa calcimedin (Tb-24)"
"Tb927.8.5465","flagellar calcium-binding protein,24 kDa calflagin,24 kDa calcimedin (Tb-24)"
"Tb927.8.5470","flagellar calcium-binding protein,17 kDa calflagin,17 kDa calcimedin (Tb-17)"
"Tb927.8.5680","hypothetical protein, conserved"
"Tb927.8.6150","40S ribosomal protein S8, putative"
"Tb927.8.6830","kinesin, putative"
"Tb927.8.6980","hypothetical protein, conserved"
"Tb927.8.7200","hypothetical protein, conserved"
"Tb927.8.7300","variant surface glycoprotein (VSG)-related, putative"
"Tb927.8.7310","hypothetical protein"
"Tb927.8.7320","variant surface glycoprotein (VSG)-related, putative"
"Tb927.8.7340","trans-sialidase, putative,neuraminidase, putative"
"Tb927.8.7350","trans-sialidase, putative,neuraminidase, putative"
"Tb927.8.7380","dihydrolipoamide dehydrogenase, point mutation,acetoin dehydrogenase e3 component, putative"
"Tb927.8.7410","calreticulin, putative"
"Tb927.8.7430","ubiquinol-cytochrome c reductase, putative"
"Tb927.8.7450","myosin heavy chain kinase A, putative"
"Tb927.8.7470","hypothetical protein, conserved"
"Tb927.8.7500","hypothetical protein, conserved"
"Tb927.8.7620","amino acid transporter 1, putative (AATP1)"
"Tb927.8.7630","amino acid transporter 1, putative (AATP1)"
"Tb927.8.7640","amino acid transporter 1, putative (AATP1)"
"Tb927.8.7650","amino acid transporter, putative"
"Tb927.8.7670","amino acid transporter, putative"
"Tb927.8.7680","amino acid transporter, putative"
"Tb927.8.7700","amino acid transporter, putative"
"Tb927.8.7810","hypothetical protein, conserved"
"Tb927.8.7860","receptor-type adenylate cyclase GRESAG 4, putative"
"Tb927.8.7870","receptor-type adenylate cyclase GRESAG 4, putative"
"Tb927.8.7880","receptor-type adenylate cyclase GRESAG 4 (pseudogene), putative,receptor-type adenylate cyclase GRESAG 4, fragment"
"Tb927.8.7890","receptor-type adenylate cyclase GRESAG 4, putative"
"Tb927.8.7900","receptor-type adenylate cyclase GRESAG 4, putative"
"Tb927.8.7930","receptor-type adenylate cyclase GRESAG 4, putative"
"Tb927.8.7940","receptor-type adenylate cyclase GRESAG 4, putative"
"Tb927.8.8080","UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase (pseudogene), putative"
"Tb927.8.8090","UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative"
"Tb927.8.8100","UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative"
"Tb927.8.8180","mitochondrial RNA binding complex 1 subunit (MRB8180)"
"Tb927.8.8190","hypothetical protein, conserved"
"Tb927.8.8220","amino acid transporter, putative"
"Tb927.8.8230","amino acid transporter, putative"
"Tb927.8.8250","amino acid transporter, putative"
"Tb927.8.8260","amino acid transporter, putative"
"Tb927.8.8290","amino acid transporter AATP5"
"Tb927.8.930","hypothetical protein"
"Tb927.8.940","hypothetical protein, conserved"
"Tb927.8.960","hypothetical protein, conserved"
"Tb927.8.970","hypothetical protein"
"Tb927.9.1000","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), degenerate"
"Tb927.9.100","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.9.1020","hypothetical protein, unlikely"
"Tb927.9.1030","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), frameshifted and degenerate"
"Tb927.9.10640","synaptojanin (N-terminal domain), putative"
"Tb927.9.1070","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), point mutation"
"Tb927.9.1080","expression site-associated gene 3 (ESAG3, pseudogene), putative,expression site-associated gene 3 (ESAG3), degenerate and frameshifted"
"Tb927.9.10960","ATP-dependent DEAD/H RNA helicase, putative"
"Tb927.9.11000","small GTPase, putative,GTP-binding protein, putative (RAB7)"
"Tb927.9.110","hypothetical protein, unlikely"
"Tb927.9.1110","variant surface glycoprotein (VSG, atypical), putative"
"Tb927.9.1130","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.9.1140","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), frameshifted and point mutation"
"Tb927.9.11410","unspecified product"
"Tb927.9.11470","60S ribosomal protein L27a,60S ribosomal protein L28,60S ribosomal protein L29"
"Tb927.9.11490","60S ribosomal protein L27a,60S ribosomal protein L28,60S ribosomal protein L29 (RPL27A)"
"Tb927.9.1150","variant surface glycoprotein (VSG), pseudogene"
"Tb927.9.11520","hypothetical protein, conserved"
"Tb927.9.11580","Gim5A protein,glycosomal membrane protein (gim5A)"
"Tb927.9.1160","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), fragment with point mutation"
"Tb927.9.1170","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), degenerate frameshifted"
"Tb927.9.1180","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), frameshifted degenerate and interrupted"
"Tb927.9.11900","acyl transferase-like protein"
"Tb927.9.1190","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), fragment interrupted"
"Tb927.9.120","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.9.1210","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), frameshifted fragment"
"Tb927.9.1250","variant surface glycoprotein (VSG), putative"
"Tb927.9.12530","hypothetical protein, conserved"
"Tb927.9.12570","glycerol kinase, glycosomal (glk1)"
"Tb927.9.12590","glycerol kinase, glycosomal (glk1)"
"Tb927.9.12610","glycerol kinase, glycosomal (glk1)"
"Tb927.9.12630","glycerol kinase, glycosomal (glk1)"
"Tb927.9.1270","hypothetical protein, unlikely"
"Tb927.9.12770","hypothetical protein, conserved"
"Tb927.9.12780","hypothetical protein, conserved"
"Tb927.9.12800","hypothetical protein, conserved"
"Tb927.9.13010","hypothetical protein, conserved"
"Tb927.9.13060","hypothetical protein, conserved"
"Tb927.9.130","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.9.1310","hypothetical protein, unlikely"
"Tb927.9.13140","hypothetical protein, conserved"
"Tb927.9.13360","ubiquitin-protein ligase, putative (upl3)"
"Tb927.9.13490","aminopeptidase P, putative,metallo-peptidase, Clan MG, Family M24"
"Tb927.9.13500","hypothetical protein, unlikely"
"Tb927.9.13650","ADP-ribosylation factor, putative"
"Tb927.9.13655","ADP-ribosylation factor"
"Tb927.9.13680","ADP-ribosylation factor, putative"
"Tb927.9.13710","ADP-ribosylation factor, putative"
"Tb927.9.13740","ADP-ribosylation factor, putative"
"Tb927.9.13785","kinetoplastid membrane protein KMP-11"
"Tb927.9.13820","kinetoplastid membrane protein KMP-11"
"Tb927.9.13880","unspecified product"
"Tb927.9.13920","kinetoplastid membrane protein KMP-11 (KMP-11)"
"Tb927.9.14600","iron/ascorbate oxidoreductase family protein, putative"
"Tb927.9.14650","SLACS retrotransposable element (part), putative"
"Tb927.9.150","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.9.15510","BARP protein (BARP)"
"Tb927.9.15520","BARP protein (BARP)"
"Tb927.9.15540","BARP protein (BARP)"
"Tb927.9.15580","BARP protein (BARP)"
"Tb927.9.15590","BARP protein (BARP)"
"Tb927.9.15620","BARP protein (BARP)"
"Tb927.9.15700","variant surface glycoprotein (VSG)-related, putative"
"Tb927.9.15710","variant surface glycoprotein (VSG)-related, putative"
"Tb927.9.15720","hypothetical protein, conserved"
"Tb927.9.15730","variant surface glycoprotein (VSG)-related, putative"
"Tb927.9.15750","hypothetical protein, conserved"
"Tb927.9.15760","variant surface glycoprotein (VSG)-related, putative"
"Tb927.9.15780","hypothetical protein, conserved"
"Tb927.9.15795","VSG"
"Tb927.9.15810","retrotransposon hot spot protein 3 (RHS3), putative"
"Tb927.9.15820","hypothetical protein, conserved"
"Tb927.9.15850","hypothetical protein"
"Tb927.9.15940","expression site-associated gene (ESAG) protein, putative,expression site-associated gene 3 (ESAG3) protein, putative"
"Tb927.9.15980","nucleoside transporter 1, putative"
"Tb927.9.1600","hypothetical protein, conserved"
"Tb927.9.16010","expression site-associated gene 4 (ESAG4, pseudogene), putative,expression site-associated gene 4 (ESAG4), fragment"
"Tb927.9.16050","leucine-rich repeat protein (pseudogene), putative"
"Tb927.9.160","variant surface glycoprotein (VSG, atypical), putative"
"Tb927.9.16140","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), frameshifted and point-mutated fragment"
"Tb927.9.16150","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), degenerate and frameshifted"
"Tb927.9.16180","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), degenerate"
"Tb927.9.16240","variant surface glycoprotein (VSG), interrupted degenerate and frameshifted fragment"
"Tb927.9.16290","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), fragment interrupted"
"Tb927.9.16360","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), degenerate and frameshifted"
"Tb927.9.16370","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), degenerate and frameshifted"
"Tb927.9.16380","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), frameshifted"
"Tb927.9.16480","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), degenerate fragment"
"Tb927.9.16540","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), frameshifted and degenerate"
"Tb927.9.16570","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), degenerate and frameshifted"
"Tb927.9.16580","expression site-associated gene 3 (ESAG3, pseudogene), putative,expression site-associated gene 3 (ESAG3), degenerate and frameshifted fragment"
"Tb927.9.16590","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), point mutation"
"Tb927.9.16600","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.9.16610","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), degenerate fragment"
"Tb927.9.16630","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.9.16660","variant surface glycoprotein (VSG), frameshifted"
"Tb927.9.16710","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), degenerate and frameshifted fragment"
"Tb927.9.16720","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), frameshifted and degenerate"
"Tb927.9.16750","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), frameshifted and degenerate"
"Tb927.9.16800","hypothetical protein, conserved (pseudogene),hypothetical protein, conserved, degenerate"
"Tb927.9.16830","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), degenerate and frameshifted"
"Tb927.9.16860","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), frameshifted and point mutation"
"Tb927.9.16870","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), frameshifted and point mutation"
"Tb927.9.16900","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), degenerate and frameshifted"
"Tb927.9.16910","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), frameshifted and point-mutated fragment"
"Tb927.9.16950","hypothetical protein"
"Tb927.9.16960","expression site-associated gene 3 (ESAG3, pseudogene), putative,expression site-associated gene 3 (ESAG3), degenerate and frameshifted"
"Tb927.9.16970","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), point mutation"
"Tb927.9.17070","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), point mutation"
"Tb927.9.17100","expression site-associated gene 3 (ESAG3, pseudogene), putative,expression site-associated gene 3 (ESAG3), degenerate and frameshifted fragment"
"Tb927.9.17110","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), fragment (VSG56)"
"Tb927.9.17250","variant surface glycoprotein (VSG), point mutation"
"Tb927.9.17370","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), frameshifted and degenerate"
"Tb927.9.17380","Serum resistance-associated gene (SRA), putative (SRA-BC)"
"Tb927.9.17400","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), degenerate fragment (VSG34)"
"Tb927.9.17410","variant surface glycoprotein (VSG, atypical), putative"
"Tb927.9.17430","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), degenerate"
"Tb927.9.17460","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), degenerate and frameshifted fragment"
"Tb927.9.17490","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), frameshifted and point mutation"
"Tb927.9.17500","expression site-associated gene 3 (ESAG3, pseudogene), putative,expression site-associated gene 3 (ESAG3), degenerate"
"Tb927.9.17510","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), fragment with point mutation"
"Tb927.9.17530","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), interrupted fragment"
"Tb927.9.17570","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), degenerate and frameshifted"
"Tb927.9.17600","variant surface glycoprotein (VSG), putative"
"Tb927.9.1770","hypothetical protein, conserved"
"Tb927.9.17710","hypothetical protein, unlikely"
"Tb927.9.17720","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.9.17740","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), frameshifted and point mutation"
"Tb927.9.17780","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), fragment"
"Tb927.9.1780","sec1 family transport protein, putative (SLY1)"
"Tb927.9.17850","variant surface glycoprotein (VSG, atypical), putative"
"Tb927.9.17890","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), degenerate and frameshifted"
"Tb927.9.17900","expression site-associated gene 3 (ESAG3, pseudogene), putative,expression site-associated gene 3 (ESAG3), frameshifted and degenerate fragment"
"Tb927.9.17930","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), frameshifted"
"Tb927.9.17970","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), frameshifted and point mutation"
"Tb927.9.17990","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), point mutation and frameshifted"
"Tb927.9.18010","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), degenerate and frameshifted"
"Tb927.9.18030","hypothetical protein, unlikely"
"Tb927.9.18040","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), degenerate and frameshifted"
"Tb927.9.18050","variant surface glycoprotein (VSG, atypical), putative"
"Tb927.9.18100","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (VSG), fragment"
"Tb927.9.18130","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.9.1850","60S ribosomal protein L35, putative"
"Tb927.9.190","variant surface glycoprotein (VSG), putative"
"Tb927.9.1940","hypothetical protein, conserved"
"Tb927.9.200","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, fragment"
"Tb927.9.210","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.9.240","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.9.2430","hypothetical protein, unlikely"
"Tb927.9.2470","nucleolar protein (NOP86)"
"Tb927.9.2490","nucleolar protein (NOP66)"
"Tb927.9.260","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 3 (ESAG3), fragment"
"Tb927.9.2802","hypothetical protein, conserved"
"Tb927.9.2803","hypothetical protein, conserved"
"Tb927.9.280","transferrin-binding protein, pseudogene,transferrin-binding protein, fragment"
"Tb927.9.2811","hypothetical protein, conserved"
"Tb927.9.2812","hypothetical protein, conserved"
"Tb927.9.2813","hypothetical protein, conserved"
"Tb927.9.2814","hypothetical protein, conserved"
"Tb927.9.2815","hypothetical protein, conserved"
"Tb927.9.2816","hypothetical protein, conserved"
"Tb927.9.2817","hypothetical protein, conserved"
"Tb927.9.2821","hypothetical protein, conserved"
"Tb927.9.2840","hypothetical protein, conserved"
"Tb927.9.2841","hypothetical protein, conserved"
"Tb927.9.2853","hypothetical protein, conserved"
"Tb927.9.2860","hypothetical protein, conserved"
"Tb927.9.310","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.9.3120","protein kinase, putative"
"Tb927.9.3260","hypothetical protein, unlikely"
"Tb927.9.330","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.9.340","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.9.3710","hypothetical protein, unlikely"
"Tb927.9.3720","hypothetical protein, unlikely"
"Tb927.9.390","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.9.3920","ribosomal protein S7, putative"
"Tb927.9.3930","hypothetical protein, conserved"
"Tb927.9.3970","nicotinamidase, putative (PNC1)"
"Tb927.9.400","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.9.4040","nicotinamidase, putative (PNC1)"
"Tb927.9.410","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.9.4210","fatty acyl CoA synthetase 3 (ACS3)"
"Tb927.9.4230","fatty acyl CoA synthetase 4 (ACS4)"
"Tb927.9.4300","PRP3, putative (TbPRP3)"
"Tb927.9.4340","hypothetical protein, unlikely"
"Tb927.9.460","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.9.500","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, fragment"
"Tb927.9.5190","proliferative cell nuclear antigen (PCNA), putative"
"Tb927.9.520","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, fragment"
"Tb927.9.530","hypothetical protein, unlikely"
"Tb927.9.5460","Eukaryotic translation initiation factor 4 gamma type 2 (eif4g2)"
"Tb927.9.550","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.9.560","expression site-associated gene 3 (ESAG3), pseudogene"
"Tb927.9.570","variant surface glycoprotein (VSG, atypical), putative"
"Tb927.9.5750","unspecified product"
"Tb927.9.580","variant surface glycoprotein (VSG), putative"
"Tb927.9.5840","unspecified product"
"Tb927.9.5900","glutamate dehydrogenase (GDH)"
"Tb927.9.590","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, fragment"
"Tb927.9.5920","hypothetical protein, unlikely"
"Tb927.9.6040","E1-like ubiquitin-activating enzyme, putative (UBA5)"
"Tb927.9.6070","40S ribosomal protein S3, putative (RPS3)"
"Tb927.9.6090","PTP1-interacting protein, 39 kDa"
"Tb927.9.6100","TFIIF-stimulated CTD phosphatase, putative"
"Tb927.9.610","hypothetical protein (pseudogene)"
"Tb927.9.6110","hypothetical protein, conserved"
"Tb927.9.6160","hypothetical protein, conserved"
"Tb927.9.620","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 3 (ESAG3), pseudogene"
"Tb927.9.630","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.9.6360","hypothetical protein, conserved"
"Tb927.9.6370","hypothetical protein, conserved"
"Tb927.9.6380","hypothetical protein, conserved"
"Tb927.9.640","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.9.660","expression site-associated gene (ESAG) protein,expression site-associated gene 1 (ESAG1) protein"
"Tb927.9.6620","hypothetical protein, conserved"
"Tb927.9.670","hypothetical protein"
"Tb927.9.6760","hypothetical protein, conserved"
"Tb927.9.6865","hypothetical protein"
"Tb927.9.715","hypothetical protein"
"Tb927.9.7290","variant surface glycoprotein (VSG)-related, putative"
"Tb927.9.7300","hypothetical protein, unlikely"
"Tb927.9.7310","variant surface glycoprotein (VSG, pseudogene)-related, putative,variant surface glycoprotein (VSG), degenerate fragment"
"Tb927.9.7320","expression site-associated gene 11 (ESAG11) protein, putative"
"Tb927.9.7330","expression site-associated gene 2 (ESAG2) protein, putative"
"Tb927.9.7340","expression site-associated gene 9 (ESAG9) protein, putative"
"Tb927.9.7350","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 1 (ESAG1), pseudogene"
"Tb927.9.7380","variant surface glycoprotein (VSG)-related, putative"
"Tb927.9.7390","variant surface glycoprotein (VSG)-related, putative"
"Tb927.9.7400","expression site-associated gene 11 (ESAG11) protein, putative"
"Tb927.9.7410","expression site-associated gene 2 (ESAG2) protein, putative"
"Tb927.9.7420","expression site-associated gene 9 (ESAG9) protein, putative"
"Tb927.9.7430","variant surface glycoprotein (VSG)-related, putative"
"Tb927.9.7590","60S ribosomal protein L11, putative"
"Tb927.9.7850","hypothetical protein, conserved"
"Tb927.9.7860","hypothetical protein, conserved"
"Tb927.9.7870","hypothetical protein, conserved"
"Tb927.9.7880","hypothetical protein, conserved"
"Tb927.9.7900","hypothetical protein, conserved"
"Tb927.9.7910","hypothetical protein, conserved"
"Tb927.9.7930","hypothetical protein, conserved"
"Tb927.9.7940","hypothetical protein, conserved"
"Tb927.9.7950","hypothetical protein"
"Tb927.9.7960","hypothetical protein"
"Tb927.9.800","UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative"
"Tb927.9.8030","hypothetical protein, conserved"
"Tb927.9.8070","60S ribosomal protein L10, putative,QM-like protein (QM)"
"Tb927.9.8100","nascent polypeptide associated complex subunit, putative"
"Tb927.9.8130","nascent polypeptide associated complex subunit, putative"
"Tb927.9.8260","rhomboid-like protein,serine peptidase, Clan S- , family S54, putative"
"Tb927.9.8400","predicted zinc finger protein"
"Tb927.9.840","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.9.8420","60S ribosomal protein L10, putative,QM-like protein"
"Tb927.9.850","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.9.860","variant surface glycoprotein (VSG), putative"
"Tb927.9.8710","hypothetical protein, conserved"
"Tb927.9.8810","hypothetical protein, conserved"
"Tb927.9.8850","actin A"
"Tb927.9.8880","actin A"
"Tb927.9.890","variant surface glycoprotein (VSG), putative"
"Tb927.9.8910","hypothetical protein, unlikely"
"Tb927.9.8920","hypothetical protein, unlikely"
"Tb927.9.8930","hypothetical protein, unlikely"
"Tb927.9.900","variant surface glycoprotein (VSG), putative"
"Tb927.9.9030","hypothetical protein, conserved"
"Tb927.9.930","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.9.9370","hypothetical protein, conserved"
"Tb927.9.9380","sphingomyelin/ceramide phosphorylethanolamine synthase, bifunctional,sphingomyelin synthase (SLS4)"
"Tb927.9.9390","sphingomyelin/ceramide phosphorylethanolamine synthase, bifunctional,sphingomyelin synthase (SLS3)"
"Tb927.9.940","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.9.9410","inositol phosphorylceramide synthase (SLS1)"
